db_id,playlist_id,name,description,category,video_count,created_at,last_updated,classification_source,human_verified,is_human_validated,competitor_id,competitor_name,country
230,PLe_YVMnS1oXaw93XiuJarcdhoqEBrLq5K,Airbnb.org,"Airbnb.org is a 501(c)(3) nonprofit organization that facilitates emergency stays for people in large-scale crises around the world.

Airbnb.org leverages Airbnb, Inc.’s technology, services, and other resources at no charge to carry out Airbnb.org’s charitable purpose.

Airbnb.org is a separate and independent entity from Airbnb, Inc. Airbnb, Inc. does not charge service fees for Airbnb.org supported stays on its platform.",hub,22,2025-07-11 12:28:06.101395,2025-07-21 22:07:47,human,True,False,13,Airbnb,International
273,PLZkZsSK33kzLTv5oo7QzQB_AVvmvp83K7,"Vacances d'hiver 2024, Belambra au plus vrai des vacances",Ski aux pieds au coeur de 17 destinations dans les plus belles stations françaises !,hub,22,2025-07-12 22:55:05.364180,2025-07-21 22:07:47,human,True,False,14,Belambra,France
146,PLu_CKZK3SEq_t2FigFTr3INpnVvGiKzgN,We Are Why We Travel | #MarriottTRAVELER,"From snake readings in New Orleans to biking the best of Orlando, MARRIOTT TRAVELER brings you unexpected moments you’ll want to share and experience — videos by local filmmakers and global travel enthusiasts at the forefront of culture in cities around the world. Experience here, share everywhere. Be a #MarriottTRAVELER.

Read More about Marriott Traveler - http://traveler.marriott.com
Subscribe to Marriott on YouTube - http://bit.ly/MarriottonYouTube
Book Direct at http://Marriott.com",hub,21,2025-07-09 19:38:41.988679,2025-07-09 22:15:22.923638,ai,False,False,4,Marriott Bonvoy,International
19,PL73P7QjiWmZhHAYLwYGSMad01jDdm27Ic,Ontdek Landal,,hub,21,2025-07-05 17:12:55.884261,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
33,PLF99F0F2CCC7EFB8D,Parken in Limburg (NL),Video-impressies van de in Limburg gelegen parken van Landal GreenParks.,hub,21,2025-07-05 17:12:55.885279,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
349,PL08aBiIheuyCmCF9MYilwZG19M-s2B7Kb,So entsteht ein Lächeln: Entdecke deine #smilestory.,"Entdecke die Welt und dein Lächeln auf tui.com/kinder:  http://www.tui.com/short/hIJM9
Unsere Mitarbeiter, machen ihren Job weltweit mit Leidenschaft & sind  für Euch als TUI Urlaubsexperten vor Ort immer auf der Suche nach tollen Reiseerlebnissen. Lass Dich inspirieren und entdecke deine eigene #smilestory: www.tui.com/smilestory


#tui #smilestory",hub,21,2025-07-12 22:55:24.487339,2025-07-21 22:07:47,human,True,False,20,TUI Deutschland,Germany
297,PLFFD3663F6A67E8EF,Vacances Mer Clubs de Vacances Séjour Eté | Belambra Clubs,"Vivez une expérience Club 100% made in France ! Passez des vacances inoubliables, dans une atmosphère chaleureuse et conviviale au cœur des plus beaux endroits de France.",hub,20,2025-07-12 22:55:05.371514,2025-07-21 22:07:47,ai,False,False,14,Belambra,France
269,PLZdK_emUC9UykBWYZeLahkcVxQAaoe_Zh,L'esprit Homair Vacances,"Parcs aquatiques, toboggans, animations, vacances en plein air et mobil-homes tout confort... c'est ça l'esprit-camping Homair Vacances !",hero,20,2025-07-12 22:52:54.963582,2025-07-15 23:28:12.802697,human,True,False,16,HOMAIR,France
142,PLu_CKZK3SEq-ziipBNm10CCWBYxVJx63n,Go Beyond Game Day with Marriott,"We’re all about going beyond game day to bring you exclusive experiences, hilarious game shows, and access to some of the NFL’s biggest stars. Get your game face on with some of our favorite football experiences.",help,19,2025-07-09 19:38:41.988439,2025-07-09 22:15:22.902967,ai,False,False,4,Marriott Bonvoy,International
60,PLSjhlvQVKFhtmmBV71qQv0D2FYEyAHzS0,Het Resort,,hub,19,2025-07-05 18:35:12.634588,2025-07-21 22:07:47,ai,False,False,12,Hof van Saksen,Netherlands
334,PL08aBiIheuyBjRlqje9jezZduArbbzauI,Beliebte TUI Hotels,,hub,19,2025-07-12 22:55:24.483961,2025-07-21 22:07:47,human,True,False,20,TUI Deutschland,Germany
168,PLdgCSoJzrmKEz8BO8V2GD6-EE2CBsRUOT,Expedia Vacation Travel Guides | 2019,,hub,17,2025-07-09 19:53:43.343755,2025-07-21 22:07:47,human,True,False,1,Expedia,International
127,PLu_CKZK3SEq9kbSKwuwckrY-vNzvIt8Bg,Mercedes AMG-Petronas F1 x Marriott Bonvoy,,hub,17,2025-07-09 19:38:41.986410,2025-07-21 22:07:47,ai,False,False,4,Marriott Bonvoy,International
39,PLC32A6FBEE8C03578,Parken op de Waddeneilanden (NL),Video-impressies van de gelegen parken van Landal GreenParks op de Waddeneilanden.,hub,17,2025-07-05 17:12:55.885563,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
58,PLSjhlvQVKFhvnZJ7J9XUtxCdLPFh02ERn,Kids,,hub,17,2025-07-05 18:35:12.634549,2025-07-21 22:07:47,ai,False,False,12,Hof van Saksen,Netherlands
265,PLZdK_emUC9UwPvHDkVxEnAVOT7q5SGrAy,Ça vient de se passer... événements et actualités Homair Vacances,"Découvrez ici les derniers événements Homair Vacances, les actualités et les plus beaux souvenis de vos vacances...",hub,17,2025-07-12 22:52:54.963492,2025-07-21 22:07:47,ai,False,False,16,HOMAIR,France
181,PLdgCSoJzrmKEt0Lm9rBsYHSW3oBRozPAK,Expedia At Walt Disney World,,hub,16,2025-07-09 19:53:43.344043,2025-07-21 22:07:47,ai,False,False,1,Expedia,International
71,PLLV950EiSCvOCVOhgfehSRnlje7XAjOww,Stay in the Music with Hilton,"Since hosting the first GRAMMYs® in 1959, Hilton has been home to music’s most iconic moments. Hilton helps fans and musicians stay close to what matters most. 

When music takes you places, It Matters Where You Stay. 

#HiltonForTheStay",hero,16,2025-07-09 18:38:20.435061,2025-07-21 22:07:47,human,True,False,3,Hilton,International
40,PLE814C11CAC993571,Parken in Gelderland (NL),Video-impressies van de in Gelderland gelegen parken van Landal GreenParks.,hub,16,2025-07-05 17:12:55.885603,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
